"Inner_Iter",    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
         179,      -2.052551649,      0.1162036166,       0.499326359,      0.2162136253
         180,      -2.058161055,      0.1164807615,      0.4991967514,       0.215773083
         181,      -2.066234745,      0.1167359581,      0.4990306879,      0.2153132693
         182,      -2.076467919,      0.1169537284,      0.4988499145,      0.2148465107
         183,      -2.088748493,      0.1171224075,       0.498682821,      0.2143888258
         184,      -2.103116839,      0.1172291124,      0.4985445629,      0.2139458504
         185,      -2.119621644,      0.1172662858,      0.4984574787,      0.2135274412
         186,      -2.138228278,      0.1172302118,      0.4984441833,      0.2131431346
         187,      -2.158810734,      0.1171199841,      0.4985234009,      0.2127993765
         188,      -2.181197199,      0.1169361408,      0.4987048895,      0.2124964093
         189,      -2.205197169,      0.1166841603,       0.499003122,      0.2122382016
         190,       -2.23062963,      0.1163716731,      0.4994279258,      0.2120263246
         191,      -2.257305978,       0.116006546,      0.4999807938,      0.2118573061
         192,      -2.285012583,      0.1155989619,       0.500663633,      0.2117291944
         193,      -2.313478862,      0.1151597929,      0.5014749654,      0.2116391527
         194,      -2.342327158,      0.1146987877,      0.5024074435,       0.211581027
         195,      -2.371054956,       0.114226397,      0.5034552831,       0.211551092
         196,      -2.399193447,      0.1137516363,      0.5046086003,      0.2115438312
         197,      -2.426213225,      0.1132822733,      0.5058554243,      0.2115532233
         198,      -2.451628424,      0.1128250708,      0.5071831542,       0.211573914
         199,      -2.475069988,      0.1123848762,      0.5085764746,      0.2115994909
         200,      -2.496356386,      0.1119654539,      0.5100195925,      0.2116241158
         201,      -2.515477256,      0.1115688039,      0.5114946827,       0.211641122
         202,      -2.532561686,      0.1111961126,      0.5129842257,      0.2116447519
         203,      -2.547815677,      0.1108475814,      0.5144706326,      0.2116296635
         204,       -2.56150492,      0.1105217803,      0.5159332309,      0.2115887683
         205,      -2.573996334,      0.1102172895,      0.5173534783,      0.2115167846
         206,      -2.585470637,      0.1099320177,       0.518712677,      0.2114084104
         207,       -2.59621265,      0.1096630572,      0.5199905199,      0.2112573234
         208,      -2.606478711,      0.1094077548,      0.5211690637,      0.2110587908
         209,      -2.616310057,      0.1091631239,      0.5222303845,      0.2108078481
         210,      -2.625706714,       0.108925964,      0.5231565968,      0.2104992671
         211,      -2.634666051,      0.1086935479,      0.5239326963,      0.2101293817
         212,      -2.643050983,       0.108462982,      0.5245440809,      0.2096941901
         213,      -2.650912145,      0.1082315473,      0.5249778195,      0.2091902041
         214,      -2.658594896,      0.1079971956,      0.5252244365,      0.2086155713
         215,      -2.666187836,      0.1077575654,      0.5252745271,      0.2079676428
         216,      -2.673627849,      0.1075107848,      0.5251218518,      0.2072450249
         217,      -2.680671309,       0.107255794,      0.5247646915,      0.2064484647
         218,      -2.687369991,      0.1069911849,      0.5242015985,      0.2055778921
         219,      -2.693428061,      0.1067161505,      0.5234343535,      0.2046345474
         220,      -2.698638375,      0.1064306628,      0.5224694721,      0.2036218967
         221,      -2.703416993,      0.1061342959,      0.5213134402,      0.2025424017
         222,       -2.70772196,      0.1058272651,      0.5199759918,      0.2013999978
         223,      -2.711583132,        0.10551044,      0.5184706534,       0.200200423
         224,      -2.714318448,      0.1051842802,      0.5168099515,      0.1989481151
         225,      -2.715446259,      0.1048497375,      0.5150089222,      0.1976486701
         226,      -2.714608699,      0.1045083787,      0.5130855311,      0.1963092002
         227,      -2.711118018,      0.1041613222,      0.5110558684,      0.1949352568
         228,      -2.704280982,      0.1038100273,      0.5089371981,      0.1935330295
         229,      -2.693971439,      0.1034563671,      0.5067481667,      0.1921096692
         230,      -2.680205803,      0.1031016898,       0.504504422,       0.190670506
         231,       -2.66345303,      0.1027475473,      0.5022214772,      0.1892210596
         232,       -2.64466117,      0.1023958055,      0.4999156302,      0.1877676217
         233,      -2.624993267,      0.1020476811,      0.4975996598,      0.1863144971
         234,      -2.605769653,      0.1017045077,      0.4952860174,      0.1848661489
         235,      -2.587234299,      0.1013677937,      0.4929871726,      0.1834274572
         236,      -2.570214596,      0.1010383014,      0.4907118208,      0.1820011694
         237,      -2.555520626,      0.1007168979,      0.4884684484,      0.1805902829
         238,      -2.542018454,      0.1004044483,      0.4862649369,      0.1791978092
         239,      -2.529388623,      0.1001010663,      0.4841059197,      0.1778248964
         240,      -2.517872125,     0.09980699629,      0.4819963144,      0.1764731832
         241,      -2.507853787,     0.09952236427,      0.4799403453,      0.1751441529
         242,      -2.500045507,     0.09924661163,      0.4779390549,      0.1738374801
         243,      -2.494749273,     0.09897939111,      0.4759941516,      0.1725535013
         244,      -2.491044032,     0.09872022852,      0.4741066267,      0.1712923106
         245,      -2.488136117,     0.09846805378,       0.472274457,      0.1700522696
         246,      -2.485567332,     0.09822217294,         0.4704971,      0.1688328246
         247,      -2.482669171,     0.09798173211,      0.4687732137,      0.1676330279
         248,       -2.47988232,     0.09774540954,      0.4670992151,       0.166450597
         249,      -2.478242728,     0.09751234286,      0.4654731144,      0.1652843885
         250,      -2.480591911,     0.09728158376,      0.4638922996,      0.1641329522
         251,      -2.485739621,     0.09705176873,      0.4623521416,      0.1629935935
         252,      -2.491719319,     0.09682216325,      0.4608504532,      0.1618652477
         253,      -2.497936182,     0.09659194019,      0.4593841817,      0.1607464042
         254,      -2.502715949,     0.09636001279,       0.457949026,      0.1596347546
         255,      -2.505885886,     0.09612601553,      0.4565435379,      0.1585298406
         256,      -2.509158438,     0.09588950351,      0.4551657427,      0.1574309166
         257,      -2.515215011,     0.09564983766,      0.4538124001,       0.156336496
         258,      -2.525458715,     0.09540708126,      0.4524829983,      0.1552468874
         259,      -2.534693841,     0.09516125149,      0.4511766911,      0.1541622201
         260,      -2.543014623,      0.0949120915,      0.4498912949,      0.1530818011
         261,      -2.548619985,     0.09465987932,      0.4486266048,      0.1520062626
         262,      -2.551681109,     0.09440489665,      0.4473825279,      0.1509362954
         263,      -2.553054286,     0.09414698846,      0.4461571261,      0.1498714078
         264,      -2.555009601,     0.09388630343,      0.4449498187,      0.1488119374
         265,      -2.560404701,     0.09362316993,      0.4437607398,      0.1477586841
         266,      -2.572181811,     0.09335734159,      0.4425874804,      0.1467108487
         267,       -2.58419561,     0.09308866439,      0.4414280008,      0.1456678496
         268,      -2.594236254,      0.0928174966,      0.4402824152,      0.1446304381
         269,      -2.602144659,     0.09254350977,      0.4391479241,      0.1435975184
         270,      -2.606891598,     0.09226623069,      0.4380209878,      0.1425675482
         271,      -2.610006071,     0.09198615568,      0.4369021148,      0.1415414803
         272,      -2.612320022,      0.0917030287,       0.435788767,      0.1405183508
         273,      -2.615620026,     0.09141638906,      0.4346776026,      0.1394966739
         274,      -2.621441679,     0.09112642167,      0.4335680374,      0.1384766735
         275,      -2.631041984,     0.09083334603,      0.4324596624,      0.1374586973
         276,      -2.644009259,     0.09053683295,      0.4313499335,      0.1364417555
         277,      -2.654798038,     0.09023665982,      0.4302369586,      0.1354252565
         278,      -2.663424808,     0.08993342001,      0.4291223205,      0.1344107532
         279,       -2.66946481,     0.08962687097,      0.4280044478,      0.1333978398
         280,      -2.673931509,     0.08931660258,      0.4268811479,      0.1323857451
         281,      -2.677724183,     0.08900267942,      0.4257524035,      0.1313749987
         282,       -2.68146614,     0.08868526174,      0.4246189196,      0.1303665247
         283,      -2.686071746,     0.08836374254,      0.4234784664,      0.1293594222
         284,      -2.691900914,     0.08803772045,      0.4223294455,      0.1283531747
         285,      -2.699226033,     0.08770721952,      0.4211720351,      0.1273483226
         286,      -2.706831058,     0.08737206951,      0.4200054959,      0.1263448366
         287,       -2.71588738,     0.08703183588,      0.4188276719,      0.1253418507
         288,      -2.721918171,      0.0866864233,      0.4176372914,      0.1243390591
         289,      -2.725418979,     0.08633615685,      0.4164344394,      0.1233369914
         290,      -2.726588795,     0.08598121793,      0.4152183425,      0.1223356804
         291,      -2.726161397,     0.08562191878,      0.4139880724,      0.1213350985
         292,      -2.724757185,     0.08525881798,      0.4127431734,      0.1203355622
         293,      -2.723609693,     0.08489280486,       0.411484222,      0.1193380153
         294,      -2.721725487,     0.08452481281,      0.4102119243,      0.1183434689
         295,      -2.720058231,     0.08415584491,      0.4089267552,       0.117352824
         296,      -2.718395245,     0.08378708848,      0.4076298442,      0.1163673436
         297,      -2.716744367,     0.08341965194,      0.4063220608,      0.1153881112
         298,      -2.715569554,      0.0830547897,      0.4050052266,      0.1144167284
         299,      -2.716114196,     0.08269385457,      0.4036814204,      0.1134549057
         300,       -2.71538172,      0.0823380069,      0.4023522121,      0.1125039607
         301,      -2.713471656,     0.08198818648,       0.401018785,      0.1115648861
         302,      -2.709831605,     0.08164486421,      0.3996812268,      0.1106379389
         303,      -2.705687325,     0.08130917082,      0.3983423911,       0.109724903
         304,      -2.700782453,     0.08098184393,      0.3970038525,      0.1088266894
         305,      -2.696289262,     0.08066326053,      0.3956664682,      0.1079436828
         306,       -2.69199383,      0.0803533826,      0.3943303233,      0.1070757033
         307,      -2.687513522,     0.08005178129,      0.3929942549,      0.1062217291
         308,      -2.683517582,      0.0797588852,      0.3916606199,      0.1053827203
         309,      -2.680974279,     0.07947479072,      0.3903309285,       0.104559058
         310,      -2.680204161,     0.07919920505,       0.389005584,      0.1037503974
         311,      -2.680718363,     0.07893133959,      0.3876836824,      0.1029555566
         312,      -2.682556448,     0.07867012144,       0.386363183,      0.1021726488
         313,      -2.683484467,     0.07841563431,      0.3850466794,      0.1014024778
         314,      -2.684211976,     0.07816800878,      0.3837369131,      0.1006459011
         315,      -2.683738703,     0.07792675584,      0.3824342907,     0.09990240056
         316,      -2.682967808,     0.07769120101,      0.3811389019,     0.09917127377
         317,      -2.681829061,     0.07746029516,      0.3798493924,     0.09845101336
         318,      -2.680991321,     0.07723370389,       0.378566429,     0.09774128429
         319,      -2.680649838,      0.0770122922,      0.3772952274,     0.09704440622
         320,      -2.681445754,      0.0767961683,      0.3760379333,     0.09636096215
         321,      -2.683645262,       0.076585418,      0.3747968512,     0.09569167493
         322,      -2.685171095,     0.07637914188,      0.3735704447,     0.09503506781
         323,      -2.686521836,     0.07617700723,      0.3723587748,     0.09439060575
         324,      -2.687178546,     0.07597954334,      0.3711646434,     0.09375934356
